ID,Total Cost per Month,Rental Type,Number of Bedrooms,Postcode,Date Listed,Number of Bathrooms,Number of Living Rooms,Distance to First Public Transport Hub (Miles),First Public Transport Hub Name,Distance to Second Public Transport Hub (Miles),Second Public Transport Hub Name,Cost per Bedroom,Bedrooms to Bathrooms Ratio,Bedrooms to Living Rooms Ratio,Zone
61827308,35.0,Property,0.0,sw16,2022-11-08,,,0.3,Norbury,1.0,Streatham Common,inf,,,3
61483431,50.0,Parking Garage,,w13,2022-05-17,,,0.2,West Ealing,0.4,Drayton Green,,,,3
55955915,80.0,Parking Garage,,n12,2022-12-20,,,0.4,West Finchley,0.4,Woodside Park,,,,4
59695248,100.0,Parking Garage,,n5,2021-09-13,,,0.2,Arsenal,0.4,Drayton Park,,,,2
62731856,100.0,Studio,1.0,n5,2022-10-25,,,0.1,Arsenal,0.4,Drayton Park,100.0,,,2
62562125,100.0,Parking Garage,,se5,2022-10-03,,,0.3,Denmark Hill,0.4,Loughborough Junction,,,,2
62467391,100.0,Studio,1.0,se6,2022-09-20,,,0.6,Bellingham,0.6,Catford,100.0,,,3
60793796,100.0,Parking Garage,,e9,2022-02-18,,,0.5,Homerton,0.6,Hackney Wick,,,,2
59679612,120.0,Property,0.0,e14,2021-09-10,1.0,1.0,0.1,Crossharbour & London Arena,0.3,South Quay,inf,0.0,0.0,2
60764946,120.0,Parking Garage,,sw18,2022-02-15,,,0.5,Earlsfield,0.8,Southfields,,,,3
60538377,120.0,Property,0.0,e14,2022-01-15,,,0.1,South Quay,0.1,Heron Quays,inf,,,2
60801005,120.0,Parking Garage,,e14,2022-02-19,,,0.2,Canning Town,0.4,East India,,,,3
61951326,120.0,Parking Garage,,e15,2022-07-14,,,0.2,Pudding Mill Lane,0.4,Bromley-By-Bow,,,,2
55611652,120.0,Parking Garage,,e16,2022-12-16,,,0.1,Custom House,0.1,Custom House,,,,3
63286187,125.0,Parking Garage,,e1,2022-11-21,,,0.1,Shoreditch High Street,0.5,London Liverpool Street,,,,1
55608096,125.0,Parking Garage,,e3,2022-06-01,,,0.0,Bromley-By-Bow,0.3,Devons Road,,,,2
63490527,130.0,Parking Garage,,e14,2022-12-19,,,0.1,Canning Town,0.5,East India,,,,3
58934538,130.0,Parking Garage,,se16,2022-10-12,,,0.2,Canada Water,0.2,Canada Water,,,,2
61296979,135.0,Parking Garage,,w6,2022-04-22,,,0.2,Hammersmith,0.3,Hammersmith (D and P),,,,
62247541,140.0,Parking Garage,,se16,2022-08-22,,,0.1,Canada Water,0.1,Canada Water,,,,2
62090677,150.0,Parking Garage,,sw9,2022-08-01,,,0.3,Stockwell,0.4,Clapham North,,,,2
58859995,150.0,Parking Garage,,sw9,2021-06-10,,,0.3,Stockwell,0.5,Oval,,,,2
63481289,150.0,Parking Garage,,sw17,2022-12-16,,,0.5,Haydons Road,0.6,Wimbledon Park,,,,3
61972626,150.0,Parking Garage,,nw4,2022-07-17,,,0.4,Brent Cross,0.5,Hendon Central,,,,3
